observation_date,MRTSSM45321USN
2009-07-01,1469
2009-08-01,1903
2009-09-01,1745
2009-10-01,1558
2009-11-01,1480
2009-12-01,1836
2010-01-01,1738
2010-02-01,1550
2010-03-01,1628
2010-04-01,1480
2010-05-01,1411
2010-06-01,1393
2010-07-01,1418
2010-08-01,1884
2010-09-01,1687
2010-10-01,1448
2010-11-01,1462
2010-12-01,1675
2011-01-01,1603
2011-02-01,1489
2011-03-01,1578
2011-04-01,1369
2011-05-01,1368
2011-06-01,1301
2011-07-01,1345
2011-08-01,1912
2011-09-01,1645
2011-10-01,1387
2011-11-01,1451
2011-12-01,1669
2012-01-01,1657
2012-02-01,1503
2012-03-01,1482
2012-04-01,1268
2012-05-01,1364
2012-06-01,1254
2012-07-01,1302
2012-08-01,1816
2012-09-01,1462
2012-10-01,1375
2012-11-01,1352
2012-12-01,1566
2013-01-01,1546
2013-02-01,1371
2013-03-01,1367
2013-04-01,1307
2013-05-01,1263
2013-06-01,1158
2013-07-01,1298
2013-08-01,1796
2013-09-01,1430
2013-10-01,1314
2013-11-01,1320
2013-12-01,1471
2014-01-01,1489
2014-02-01,1292
2014-03-01,1351
2014-04-01,1263
2014-05-01,1205
2014-06-01,1093
2014-07-01,1255
2014-08-01,1699
2014-09-01,1392
2014-10-01,1248
2014-11-01,1163
2014-12-01,1389
2015-01-01,1432
2015-02-01,1221
2015-03-01,1194
2015-04-01,1163
2015-05-01,1103
2015-06-01,1056
2015-07-01,1160
2015-08-01,1586
2015-09-01,1314
2015-10-01,1148
2015-11-01,1073
2015-12-01,1285
2016-01-01,1238
2016-02-01,1119
2016-03-01,1147
2016-04-01,1071
2016-05-01,1028
2016-06-01,949
2016-07-01,989
2016-08-01,1489
2016-09-01,1203
2016-10-01,992
2016-11-01,968
2016-12-01,1125
2017-01-01,1186
2017-02-01,971
2017-03-01,1060
2017-04-01,924
2017-05-01,965
2017-06-01,902
2017-07-01,933
2017-08-01,1403
2017-09-01,1087
2017-10-01,953
2017-11-01,931
2017-12-01,1030
2018-01-01,1082
2018-02-01,902
2018-03-01,968
2018-04-01,874
2018-05-01,890
2018-06-01,825
2018-07-01,951
2018-08-01,1385
2018-09-01,965
2018-10-01,880
2018-11-01,890
2018-12-01,994
2019-01-01,1030
2019-02-01,846
2019-03-01,904
2019-04-01,864
2019-05-01,854
2019-06-01,779
2019-07-01,922
2019-08-01,1278
2019-09-01,905
2019-10-01,843
2019-11-01,786
2019-12-01,924
2020-01-01,975
2020-02-01,826
