date;grocery
01/01/2021;-87
02/01/2021;-36
03/01/2021;-36
04/01/2021;12
05/01/2021;6
06/01/2021;4
07/01/2021;3
08/01/2021;10
09/01/2021;-34
10/01/2021;-37
11/01/2021;12
12/01/2021;6
13/01/2021;6
14/01/2021;2
15/01/2021;-15
16/01/2021;-33
17/01/2021;-41
18/01/2021;-16
19/01/2021;-17
20/01/2021;-22
21/01/2021;-17
22/01/2021;-17
23/01/2021;-43
24/01/2021;-37
25/01/2021;-25
26/01/2021;-23
27/01/2021;-22
28/01/2021;-17
29/01/2021;-14
30/01/2021;-34
31/01/2021;-45
01/02/2021;-15
02/02/2021;-16
03/02/2021;-18
04/02/2021;-17
05/02/2021;-15
06/02/2021;-34
07/02/2021;-42
08/02/2021;-16
09/02/2021;-17
10/02/2021;-15
11/02/2021;-15
12/02/2021;-7
13/02/2021;-26
14/02/2021;-30
15/02/2021;-8
16/02/2021;-15
17/02/2021;-11
18/02/2021;-11
19/02/2021;-5
20/02/2021;-35
21/02/2021;-34
22/02/2021;-9
23/02/2021;-8
24/02/2021;-9
25/02/2021;-7
26/02/2021;1
27/02/2021;-19
28/02/2021;-25
01/03/2021;-3
02/03/2021;-3
03/03/2021;-4
04/03/2021;-5
05/03/2021;1
06/03/2021;-18
07/03/2021;-25
08/03/2021;4
09/03/2021;-1
10/03/2021;-2
11/03/2021;0
12/03/2021;2
13/03/2021;-17
14/03/2021;-23
15/03/2021;4
16/03/2021;5
17/03/2021;4
18/03/2021;9
19/03/2021;13
20/03/2021;-10
21/03/2021;-19
22/03/2021;6
23/03/2021;5
24/03/2021;5
25/03/2021;9
26/03/2021;10
27/03/2021;-8
