index;value
01/01/1970;NA
01/01/1971;7.3266
01/01/1972;7.7956
01/01/1973;NA
01/01/1974;10.6647
01/01/1975;11.0551
01/01/1976;10.8643
01/01/1977;11.3065
01/01/1978;12.1223
01/01/1979;13.0225
01/01/1980;13.6488
01/01/1981;13.2195
01/01/1982;13.1879
01/01/1983;NA
01/01/1984;13.2368
01/01/1985;14.4121
01/01/1986;15.4973
01/01/1987;NA
01/01/1988;18.8163
01/01/1989;15.1143
01/01/1990;NA
01/01/1991;21.8601
01/01/1992;NA
01/01/1993;26.9293
01/01/1994;26.8885
01/01/1995;28.8314
01/01/1996;30.0751
01/01/1997;30.9535
01/01/1998;30.1857
01/01/1999;31.5797
01/01/2000;32.577569
01/01/2001;33.477398
01/01/2002;NA
01/01/2003;NA
01/01/2004;41.596552
01/01/2005;44.657324
01/01/2006;46.951775
01/01/2007;48.728837
01/01/2008;NA
01/01/2009;50.026967
01/01/2010;60.640913
01/01/2011;63.3603103378
01/01/2012;66.355274
01/01/2013;68.197955
01/01/2014;68.12323766930001
01/01/2015;69.7793454797
01/01/2016;72.59770080599999
