index;value
30/04/2014;1157
01/05/2014;1118
02/05/2014;1310
03/05/2014;874
04/05/2014;890
05/05/2014;1437
06/05/2014;1263
07/05/2014;1187
08/05/2014;1506
09/05/2014;1448
10/05/2014;1054
11/05/2014;663
12/05/2014;988
13/05/2014;1241
14/05/2014;1207
15/05/2014;1288
16/05/2014;1045
17/05/2014;842
18/05/2014;687
19/05/2014;1136
20/05/2014;1348
21/05/2014;1241
22/05/2014;1164
23/05/2014;1029
24/05/2014;909
25/05/2014;650
26/05/2014;1275
27/05/2014;1203
28/05/2014;1233
29/05/2014;1014
30/05/2014;1040
31/05/2014;825
01/06/2014;593
02/06/2014;875
03/06/2014;1096
04/06/2014;1059
05/06/2014;1105
06/06/2014;949
07/06/2014;652
08/06/2014;546
09/06/2014;762
10/06/2014;1082
11/06/2014;1305
12/06/2014;1232
13/06/2014;1089
14/06/2014;735
15/06/2014;775
16/06/2014;1381
17/06/2014;1320
18/06/2014;1398
19/06/2014;991
20/06/2014;1052
21/06/2014;669
22/06/2014;422
23/06/2014;779
24/06/2014;1150
25/06/2014;1001
26/06/2014;1582
27/06/2014;847
28/06/2014;721
29/06/2014;541
30/06/2014;710
01/07/2014;1649
02/07/2014;919
03/07/2014;1008
04/07/2014;1000
05/07/2014;465
06/07/2014;448
07/07/2014;721
08/07/2014;1030
09/07/2014;915
10/07/2014;870
11/07/2014;795
12/07/2014;667
13/07/2014;487
14/07/2014;741
15/07/2014;1030
16/07/2014;1287
17/07/2014;1061
18/07/2014;971
19/07/2014;549
20/07/2014;509
21/07/2014;1046
22/07/2014;1514
23/07/2014;1655
24/07/2014;1489
25/07/2014;1352
26/07/2014;828
27/07/2014;591
28/07/2014;820
29/07/2014;1409
30/07/2014;1819
31/07/2014;1243
01/08/2014;1157
02/08/2014;626
03/08/2014;437
04/08/2014;842
05/08/2014;1118
06/08/2014;985
07/08/2014;983
08/08/2014;871
09/08/2014;591
10/08/2014;533
11/08/2014;937
12/08/2014;1312
13/08/2014;1412
