index;value
01/01/1700;5
01/01/1701;11
01/01/1702;16
01/01/1703;23
01/01/1704;36
01/01/1705;58
01/01/1706;29
01/01/1707;2
01/01/1708;1
01/01/1709;8
01/01/1710;3
01/01/1711;
01/01/1712;
01/01/1713;2
01/01/1714;11
01/01/1715;27
01/01/1716;47
01/01/1717;63
01/01/1718;6
01/01/1719;39
01/01/1720;28
01/01/1721;26
01/01/1722;22
01/01/1723;11
01/01/1724;21
01/01/1725;4
01/01/1726;78
01/01/1727;122
01/01/1728;103
01/01/1729;73
01/01/1730;47
01/01/1731;35
01/01/1732;11
01/01/1733;5
01/01/1734;16
01/01/1735;34
01/01/1736;7
01/01/1737;81
01/01/1738;111
01/01/1739;101
01/01/1740;73
01/01/1741;4
01/01/1742;2
01/01/1743;16
01/01/1744;5
01/01/1745;11
01/01/1746;22
01/01/1747;4
01/01/1748;6
01/01/1749;80.9
01/01/1750;83.4
01/01/1751;47.7
01/01/1752;47.8
01/01/1753;30.7
01/01/1754;12.2
01/01/1755;9.6
01/01/1756;10.2
01/01/1757;32.4
01/01/1758;47.6
01/01/1759;54
01/01/1760;62.9
01/01/1761;85.9
01/01/1762;61.2
01/01/1763;45.1
01/01/1764;36.4
01/01/1765;20.9
01/01/1766;11.4
01/01/1767;37.8
01/01/1768;69.8
01/01/1769;106.1
01/01/1770;100.8
01/01/1771;81.6
01/01/1772;66.5
01/01/1773;34.8
01/01/1774;30.6
01/01/1775;7
01/01/1776;19.8
01/01/1777;92.5
01/01/1778;154.4
01/01/1779;125.9
01/01/1780;84.8
01/01/1781;68.1
01/01/1782;38.5
01/01/1783;22.8
01/01/1784;10.2
01/01/1785;24.1
01/01/1786;82.9
01/01/1787;132
01/01/1788;130.9
01/01/1789;118.1
01/01/1790;89.9
01/01/1791;66.6
01/01/1792;6
01/01/1793;46.9
01/01/1794;41
01/01/1795;21.3
01/01/1796;16
01/01/1797;6.4
01/01/1798;4.1
01/01/1799;6.8
01/01/1800;14.5
01/01/1801;34
01/01/1802;45
01/01/1803;43.1
01/01/1804;47.5
01/01/1805;42.2
01/01/1806;28.1
01/01/1807;10.1
01/01/1808;8.1
01/01/1809;2.5
01/01/1810;
01/01/1811;1.4
01/01/1812;5
01/01/1813;12.2
01/01/1814;13.9
01/01/1815;35.4
01/01/1816;45.8
01/01/1817;41.1
01/01/1818;30.1
01/01/1819;23.9
01/01/1820;15.6
