index,value
1749 jan,58
1749 fev,62.6
1749 mar,70
1749 abr,55.7
1749 mai,85
1749 jun,83.5
1749 jul,94.8
1749 ago,66.3
1749 set,75.9
1749 out,75.5
1749 nov,158.6
1749 dez,85.2
1750 jan,73.3
1750 fev,75.9
1750 mar,89.2
1750 abr,88.3
1750 mai,90
1750 jun,100
1750 jul,85.4
1750 ago,103
1750 set,91.2
1750 out,65.7
1750 nov,63.3
1750 dez,75.4
1751 jan,70
1751 fev,43.5
1751 mar,45.3
1751 abr,56.4
1751 mai,60.7
1751 jun,50.7
1751 jul,66.3
1751 ago,59.8
1751 set,23.5
1751 out,23.2
1751 nov,28.5
1751 dez,44
1752 jan,35
1752 fev,50
1752 mar,71
1752 abr,59.3
1752 mai,59.7
1752 jun,39.6
1752 jul,78.4
1752 ago,29.3
1752 set,27.1
1752 out,46.6
1752 nov,37.6
1752 dez,40
1753 jan,44
1753 fev,32
1753 mar,45.7
1753 abr,38
1753 mai,36
1753 jun,31.7
1753 jul,22.2
1753 ago,39
1753 set,28
1753 out,25
1753 nov,20
1753 dez,6.7
1754 jan,0
1754 fev,3
1754 mar,1.7
1754 abr,13.7
1754 mai,20.7
1754 jun,26.7
1754 jul,18.8
1754 ago,12.3
1754 set,8.2
1754 out,24.1
1754 nov,13.2
1754 dez,4.2
1755 jan,10.2
1755 fev,11.2
1755 mar,6.8
1755 abr,6.5
1755 mai,0
1755 jun,0
1755 jul,8.6
1755 ago,3.2
1755 set,17.8
1755 out,23.7
1755 nov,6.8
1755 dez,20
1756 jan,12.5
1756 fev,7.1
1756 mar,5.4
1756 abr,9.4
1756 mai,12.5
1756 jun,12.9
1756 jul,3.6
1756 ago,6.4
1756 set,11.8
1756 out,14.3
1756 nov,17
1756 dez,9.4
1757 jan,14.1
1757 fev,21.2
1757 mar,26.2
1757 abr,30
1757 mai,38.1
1757 jun,12.8
1757 jul,25
1757 ago,51.3
1757 set,39.7
1757 out,32.5
1757 nov,64.7
1757 dez,33.5
1758 jan,37.6
1758 fev,52
1758 mar,49
1758 abr,72.3
1758 mai,46.4
1758 jun,45
1758 jul,44
1758 ago,38.7
1758 set,62.5
1758 out,37.7
1758 nov,43
1758 dez,43
1759 jan,48.3
1759 fev,44
1759 mar,46.8
1759 abr,47
1759 mai,49
1759 jun,50
1759 jul,51
1759 ago,71.3
1759 set,77.2
1759 out,59.7
1759 nov,46.3
1759 dez,57
1760 jan,67.3
1760 fev,59.5
1760 mar,74.7
1760 abr,58.3
1760 mai,72
1760 jun,48.3
1760 jul,66
1760 ago,75.6
1760 set,61.3
1760 out,50.6
1760 nov,59.7
1760 dez,61
1761 jan,70
1761 fev,91
1761 mar,80.7
1761 abr,71.7
1761 mai,107.2
1761 jun,99.3
1761 jul,94.1
1761 ago,91.1
1761 set,100.7
1761 out,88.7
1761 nov,89.7
1761 dez,46
1762 jan,43.8
1762 fev,72.8
1762 mar,45.7
1762 abr,60.2
1762 mai,39.9
1762 jun,77.1
1762 jul,33.8
1762 ago,67.7
1762 set,68.5
1762 out,69.3
1762 nov,77.8
1762 dez,77.2
1763 jan,56.5
1763 fev,31.9
1763 mar,34.2
1763 abr,32.9
1763 mai,32.7
1763 jun,35.8
1763 jul,54.2
1763 ago,26.5
1763 set,68.1
1763 out,46.3
1763 nov,60.9
1763 dez,61.4
1764 jan,59.7
1764 fev,59.7
1764 mar,40.2
1764 abr,34.4
1764 mai,44.3
1764 jun,30
1764 jul,30
1764 ago,30
1764 set,28.2
1764 out,28
1764 nov,26
1764 dez,25.7
1765 jan,24
1765 fev,26
1765 mar,25
1765 abr,22
1765 mai,20.2
1765 jun,20
1765 jul,27
1765 ago,29.7
1765 set,16
1765 out,14
1765 nov,14
1765 dez,13
1766 jan,12
1766 fev,11
1766 mar,36.6
1766 abr,6
1766 mai,26.8
1766 jun,3
1766 jul,3.3
1766 ago,4
1766 set,4.3
1766 out,5
1766 nov,5.7
1766 dez,19.2
1767 jan,27.4
1767 fev,30
1767 mar,43
1767 abr,32.9
1767 mai,29.8
1767 jun,33.3
1767 jul,21.9
1767 ago,40.8
1767 set,42.7
1767 out,44.1
1767 nov,54.7
1767 dez,53.3
1768 jan,53.5
1768 fev,66.1
1768 mar,46.3
1768 abr,42.7
1768 mai,77.7
1768 jun,77.4
1768 jul,52.6
1768 ago,66.8
1768 set,74.8
1768 out,77.8
1768 nov,90.6
1768 dez,111.8
1769 jan,73.9
1769 fev,64.2
1769 mar,64.3
1769 abr,96.7
1769 mai,73.6
1769 jun,94.4
1769 jul,118.6
1769 ago,120.3
1769 set,148.8
1769 out,158.2
1769 nov,148.1
1769 dez,112
1770 jan,104
1770 fev,142.5
1770 mar,80.1
1770 abr,51
1770 mai,70.1
1770 jun,83.3
1770 jul,109.8
1770 ago,126.3
1770 set,104.4
1770 out,103.6
1770 nov,132.2
1770 dez,102.3
1771 jan,36
1771 fev,46.2
1771 mar,46.7
1771 abr,64.9
1771 mai,152.7
1771 jun,119.5
1771 jul,67.7
1771 ago,58.5
1771 set,101.4
1771 out,90
1771 nov,99.7
1771 dez,95.7
1772 jan,100.9
1772 fev,90.8
1772 mar,31.1
1772 abr,92.2
1772 mai,38
1772 jun,57
1772 jul,77.3
1772 ago,56.2
1772 set,50.5
1772 out,78.6
1772 nov,61.3
1772 dez,64
1773 jan,54.6
1773 fev,29
1773 mar,51.2
1773 abr,32.9
1773 mai,41.1
1773 jun,28.4
1773 jul,27.7
1773 ago,12.7
1773 set,29.3
1773 out,26.3
